2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Костромская область', 'description': 'Код: 44', 'id': 28}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Краснодарский край', 'description': 'Код: 23', 'id': 29}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Красноярский край', 'description': 'Код: 24', 'id': 30}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Курганская область', 'description': 'Код: 45', 'id': 31}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Курская область', 'description': 'Код: 46', 'id': 32}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Ленинградская область', 'description': 'Код: 47', 'id': 33}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Липецкая область', 'description': 'Код: 48', 'id': 34}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Луганская Народная Республика', 'description': 'Код: 94', 'id': 35}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Магаданская область', 'description': 'Код: 49', 'id': 36}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Московская область', 'description': 'Код: 50', 'id': 37}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Мурманская область', 'description': 'Код: 51', 'id': 38}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Ненецкий автономный округ', 'description': 'Код: 83', 'id': 39}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Нижегородская область', 'description': 'Код: 52', 'id': 40}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Новгородская область', 'description': 'Код: 53', 'id': 41}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Новосибирская область', 'description': 'Код: 54', 'id': 42}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Омская область', 'description': 'Код: 55', 'id': 43}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Оренбургская область', 'description': 'Код: 56', 'id': 44}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
